Price,Close,High,Low,Open,Volume
Ticker,ECH,ECH,ECH,ECH,ECH
Date,,,,,
2009-12-14,36.48459243774414,36.63845087959413,36.05646415575358,36.19025232999124,212300
2009-12-15,36.35749053955078,36.511351535108304,36.29059645162255,36.29059645162255,122100
2009-12-16,36.39762496948242,36.79230617415169,36.324039948838816,36.79230617415169,201500
2009-12-17,36.26383972167969,36.337424753416364,35.855779128846144,35.88253778617694,72300
2009-12-18,36.384254455566406,36.464527883054664,35.78888831065649,36.464527883054664,104900
2009-12-21,36.52471923828125,36.54478950115086,36.13003809311547,36.257140401190455,54700
2009-12-22,36.1522102355957,36.47439820750936,36.14549654588699,36.47439820750936,234300
2009-12-23,36.29315948486328,36.373705821047636,35.984396395721724,36.373705821047636,37700
2009-12-24,36.35357666015625,36.56165750802256,36.35357666015625,36.56165750802256,105000
2009-12-28,36.581783294677734,36.702604068199136,36.42068807647533,36.45425139397032,47400
2009-12-29,36.74959182739258,37.09191566573049,36.595210287709065,37.09191566573049,32200
2009-12-30,37.138912200927734,37.23959450061254,36.628779331310895,37.05165215944969,47400
2009-12-31,36.77643966674805,37.19259869085652,36.76301485170949,37.19259869085652,39400
2010-01-04,37.655738830566406,37.789984404541535,36.93081682793489,37.29999023597547,91800
2010-01-05,37.81013107299805,37.95779893180176,37.65574696523659,37.830267017261754,122300
2010-01-06,38.42094802856445,38.4813584248563,38.01821119977813,38.10547123009347,118500
2010-01-07,39.32039260864258,39.32039260864258,38.36053989999718,38.40752548205488,653300
2010-01-08,39.85737228393555,39.90435786571703,39.21970752480114,39.40093872332495,336000
2010-01-11,39.991615295410156,40.407774375730575,39.890930449282024,40.407774375730575,361400
2010-01-12,39.88420486450195,40.06543599716435,39.434485156448815,39.72311223137176,266000
2010-01-13,39.87751007080078,40.1325764983315,39.56203324097389,39.91107083640481,229200
2010-01-14,40.1258544921875,40.13927930775107,39.87750180556593,40.092293733539464,246200
2010-01-15,40.30037307739258,40.387630534619326,39.87750036425054,40.139277856974104,275900
2010-01-19,40.57558822631836,40.90448733800005,40.13257943061881,40.4614785423005,154600
